topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Civil engineering,Master,Innovation,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.024093886305279127
Civil engineering,Master,Physical Therapy,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04627235103969081
Civil engineering,Master,Accounting,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.040095003840956545
Civil engineering,Master,Operations Research,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03851666512533586
Civil engineering,Master,Artificial Intelligence,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.02676242685571803
Civil engineering,Master,Knowledge of Electrical Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.036436299938549285
Civil engineering,Master,Applied Mathematics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03851666512533586
Civil engineering,Master,Automation,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03490897537785398
Civil engineering,Master,Banking Services,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.040095003840956545
Civil engineering,Master,Raw Materials,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03276294407599103
Civil engineering,Master,Fundamental Science,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03379543002829612
Civil engineering,Master,Biotechnology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03611740062719255
Civil engineering,Master,Biology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.025514112831989094
Civil engineering,Master,Biopharmaceuticals,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04564156176369704
Civil engineering,Master,Biomaterial,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04564156176369704
Civil engineering,Master,Corporate Finance,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.042850159647970704
Civil engineering,Master,Business Performance Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04445834153367696
Civil engineering,Master,Urban Planning,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03851666512533586
Civil engineering,Master,Medical Laboratory,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.045037622868742605
Civil engineering,Master,Clinical Research,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.040955292816945904
Civil engineering,Master,Combinatorics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03968365845576547
Civil engineering,Master,Computer Networks,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03928390181939778
Civil engineering,Master,Computer Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.045037622868742605
Civil engineering,Master,Control Systems,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.041405820248601434
Civil engineering,Master,Data Transmissions,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03709643859862588
Civil engineering,Master,Mathematical Finance,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04390178305718249
Civil engineering,Master,Digital Marketing,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04627235103969081
Civil engineering,Master,Electrochemistry,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.043366231871194476
Civil engineering,Master,Instrumentation,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.036436299938549285
Civil engineering,Master,Electronics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.034622290432535445
Civil engineering,Master,Embedded Computers,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.040955292816945904
Civil engineering,Master,Knowledge of Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03434128279161172
Civil engineering,Master,Engineering Physics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04445834153367696
Civil engineering,Master,Knowledge of Finance,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.026926479805939
Civil engineering,Master,Sales,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04390178305718249
Civil engineering,Master,Gene Therapy,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.045037622868742605
Civil engineering,Master,Health Physics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04390178305718249
Civil engineering,Master,Marketing,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.040095003840956545
Civil engineering,Master,Image Processing,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03520157176760108
Civil engineering,Master,Industrial Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04627235103969081
Civil engineering,Master,Infertility,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.046932489699767405
Civil engineering,Master,Mechanical Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03743839302820685
Civil engineering,Master,Market Research,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.042850159647970704
Civil engineering,Master,Knowledge of Mathematics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.027602341927065326
Civil engineering,Master,Project Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03089923076383573
Civil engineering,Master,Medical Physics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04627235103969081
Civil engineering,Master,Microelectronics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.045037622868742605
Civil engineering,Master,Nanostructure,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04390178305718249
Civil engineering,Master,Nuclear Power,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.034622290432535445
Civil engineering,Master,Operations Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04445834153367696
Civil engineering,Master,Pharmaceutical Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.047624842725882195
Civil engineering,Master,Pharmacology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04187112167653737
Civil engineering,Master,Energy Transformation,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03778879162474067
Civil engineering,Master,Product Design,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.040095003840956545
Civil engineering,Master,Quality Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03580551066255552
Civil engineering,Master,Quantum,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.034622290432535445
Civil engineering,Master,Robotic Automation Software,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.046932489699767405
Civil engineering,Master,Simulations,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.027952740523599157
Civil engineering,Master,Knowledge of Statistics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.022802958369208766
Civil engineering,Master,Structural Biology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04187112167653737
Civil engineering,Master,Tissue Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.045037622868742605
Civil engineering,Master,Toxicology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04564156176369704
Civil engineering,Master,Urban Design,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.04564156176369704
Civil engineering,Master,Imaging,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.034065731956040964
Civil engineering,Master,Brand Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.041405820248601434
Civil engineering,Master,Advanced Logic Research,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.041405820248601434
Civil engineering,Master,Data Science,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.029252117654408896
Civil engineering,Master,Quality Control,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03928390181939778
Civil engineering,Master,Information Technology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.026281349526051028
Civil engineering,Master,Risk Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03778879162474067
Civil engineering,Master,Execution of Experiments,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.026281349526051028
Civil engineering,Master,Foreign Languages,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.051707172777678896
Civil engineering,Master,Signal Processing,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.03778879162474067
Civil engineering,Master,Reinforced Concrete,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.07046344612037048
Civil engineering,Master,Image Analysis,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.038148062007837664
Civil engineering,Master,Reservoir Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.07046344612037048
Civil engineering,Master,Soil Mechanics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.080299497221512
Civil engineering,Master,Seismology,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.06470972507102564
Civil engineering,Master,Soil Science,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.053737834158324005
Civil engineering,Master,Vulnerability,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.046932489699767405
Civil engineering,Master,Basic Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.07454577617216716
Civil engineering,Master,Consulting,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.02676242685571803
Civil engineering,Master,Hydraulics,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.05895600402168083
Civil engineering,Master,Production Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.06252226185025375
Civil engineering,Master,Public Services,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.047624842725882195
Civil engineering,Master,Offshore Work,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.06729694492816524
Civil engineering,Master,Contract Management,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.053737834158324005
Civil engineering,Master,Municipal or Urban Engineering,,77,Master in Civil engineering - Catalogue des formations,Civil engineering,0.080299497221512
Civil engineering,Master,Instructional Design,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03611740062719255
Civil engineering,Master,Sustainability,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03068257888920446
Civil engineering,Master,Integrated Design,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.053737834158324005
Civil engineering,Master,Structural Engineering,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.05487367396988413
Civil engineering,Master,Scheduling,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03227357067935546
Civil engineering,Master,Desktop Virtualization,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.040955292816945904
Civil engineering,Master,Water Resource Management,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.045037622868742605
Civil engineering,Master,Maintenance,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.041405820248601434
Civil engineering,Bachelor,Algorithms,,77,Bachelor Cycle - Civil Engineering - EPFL,Civil engineering,0.03134271754928106
Civil engineering,Master,Systems Engineering,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.04390178305718249
Civil engineering,Master,Elasticity,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.047624842725882195
Civil engineering,Master,Infrastructure Management,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03203507057539585
Civil engineering,Master,Microsoft PowerPoint,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03709643859862588
Civil engineering,Master,Structural Dynamics,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.07454577617216716
Civil engineering,Master,Computer Programming,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.030469185061228664
Civil engineering,Master,Linear Algebra,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.036762530907080516
Civil engineering,Master,Forecasting Skills,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03353018077005295
Civil engineering,Master,Measurement and Metrology,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.034622290432535445
Civil engineering,Master,Economy,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.019319203227367635
Civil engineering,Bachelor,Deformation,,77,Bachelor Cycle - Civil Engineering - EPFL,Civil engineering,0.05487367396988413
Civil engineering,Bachelor,Data Collection,,77,Bachelor Cycle - Civil Engineering - EPFL,Civil engineering,0.02743033470413298
Civil engineering,Bachelor,Python (Programming Language),,77,Bachelor Cycle - Civil Engineering - EPFL,Civil engineering,0.031800512802936956
Civil engineering,Master,HVAC,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.06062739501922895
Civil engineering,Master,Ventilation,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.05895600402168083
Civil engineering,Master,Dynamic Program Analysis,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.06470972507102564
Civil engineering,Master,Ethical Codes,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.046932489699767405
Civil engineering,Master,Transportation Management,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.05487367396988413
Civil engineering,Master,Finite Element Methods,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.046932489699767405
Civil engineering,Master,Hydroelectricity,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.053737834158324005
Civil engineering,Master,Manufacturing,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.03611740062719255
Civil engineering,Master,Seismic Analysis,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.07454577617216716
Civil engineering,Master,Steel Frames,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.080299497221512
Civil engineering,Master,Structural Mechanics,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.06470972507102564
Civil engineering,Master,Fluid Dynamics,,77,Master Cycle - Civil Engineering - EPFL,Civil engineering,0.04627235103969081
